category,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,rating
Preservatives,"1,",2-Hexanediol,,,,,Good
Emollients,10-Hydroxydecanoic,Acid,,,,,Good
Emollients,4-T-butylcyclohexanol,,,,,,Good
 Skin-Soothing,4-T-butylcyclohexanol,,,,,,Good
Plant Extracts,Acacia,farnesiana,extract,,,,Poor
 Fragrance: Synthetic and Fragrant Plant Extracts,Acacia,farnesiana,extract,,,,Poor
Texture Enhancer,acacia,senegal,gum,,,,Good
 Plant Extracts,acacia,senegal,gum,,,,Good
 Skin-Soothing,acacia,senegal,gum,,,,Good
Antioxidants,acai,,,,,,Best
 Plant Extracts,acai,,,,,,Best
Plant Extracts,acerola,fruit,extract,,,,Good
Sensitizing,acetic,acid,,,,,Poor
Sensitizing,acetone,,,,,,Poor
Texture Enhancer,acetylated,castor,oil,,,,Good
 Emollients,acetylated,castor,oil,,,,Good
Texture Enhancer,acetylated,hydrogenated,cottonseed,glyceride,,,Good
 Emollients,acetylated,hydrogenated,cottonseed,glyceride,,,Good
Emollients,acetylated,lanolin,,,,,Good
Emollients,acetylated,lanolin,alcohol,,,,Good
Texture Enhancer,acetylated,palm,kernel,glycerides,,,Good
 Emollients,acetylated,palm,kernel,glycerides,,,Good
Antioxidants,acetyl,carnitine,HCL,,,,Best
Skin-Replenishing,acetyl,glucosamine,,,,,Best
Texture Enhancer,acetyl,glyceryl,ricinoleate,,,,Good
 Emollients,acetyl,glyceryl,ricinoleate,,,,Good
Skin-Restoring,acetyl,hexapeptide-8,,,,,Good
Skin-Restoring,acetyl,octapeptide-3,,,,,Good
Film-Forming/Holding Agents,acetyl,tributyl,citrate,,,,Average
Hydration,acetyl,tyrosine,,,,,Good
Skin-Soothing,Achillea,millefolium,,,,,Poor
 Plant Extracts,Achillea,millefolium,,,,,Poor
Miscellaneous,acid,,,,,,Average
Cleansing Agents,acne,soap,,,,,Poor
Silicones,acrylates/dimethicone,copolymer,,,,,Good
 Texture Enhancer,acrylates/dimethicone,copolymer,,,,,Good
Plant Extracts,Actaea,racemosa,,,,,Average
Skin-Soothing,adenosine,,,,,,Best
 Skin-Restoring,adenosine,,,,,,Best
Skin-Soothing,adenosine,triphosphate,,,,,Best
 Skin-Restoring,adenosine,triphosphate,,,,,Best
Miscellaneous,advanced,glycation,endproduct,,,,Poor
Plant Extracts,Aerocarpus,santalinus,,,,,Poor
 Fragrance: Synthetic and Fragrant Plant Extracts,Aerocarpus,santalinus,,,,,Poor
Skin-Soothing,Aesculus,hippocastanum,,,,,Good
 Plant Extracts,Aesculus,hippocastanum,,,,,Good
Antioxidants,agar,,,,,,Good
 Plant Extracts,agar,,,,,,Good
 Emollients,agar,,,,,,Good
 Texture Enhancer,agar,,,,,,Good
Miscellaneous,AGE,,,,,,Poor
Antioxidants,Agrimonia,eupatoria,leaf,extract,,,Average
Exfoliant,AHA,,,,,,Best
Antioxidants,Ahnfeltia,concinna,extract,,,,Good
 Texture Enhancer,Ahnfeltia,concinna,extract,,,,Good
 Texture Enhancer,ahnfeltia,extract,,,,,Good
 Texture Enhancer,Alaria,esculenta,,,,,Good
Uncategorized,alcloxa,,,,,,Poor
Emollients,alcohol,,,,,,Average
 Cleansing Agents,alcohol,,,,,,Average
Plant Extracts,Aleurites,moluccana,seed,oil,,,Best
 Antioxidants,Aleurites,moluccana,seed,oil,,,Best
Uncategorized,aliphatic,hydrocarbon,,,,,Good
Uncategorized,alkaline,,,,,,Poor
Skin-Soothing,allantoin,,,,,,Best
 Skin-Replenishing,almond,oil,,,,,Best
Exfoliant,alpha,hydroxy,acid,,,,Best
Fragrance: Synthetic and Fragrant Plant Extracts,alpha,isomethyl,ionone,,,,Poor
 Vitamins,alpha-tocopherol,,,,,,Best
 Scrub Agents,alumina,,,,,,Good
 Absorbent,alumina,,,,,,Good
Uncategorized,aluminum,,,,,,Good
 Absorbent,Aluminum,hydroxide,,,,,Good
Absorbent,aluminum,magnesium,silicate,,,,Good
Coloring Agents/Pigments,aluminum,powder,,,,,Good
Absorbent,aluminum,silicate,,,,,Good
 Scrub Agents,aluminum,silicate,,,,,Good
 Absorbent,aluminum,starch,octenylsuccinate,,,,Good
Absorbent,aluminum,sulfate,,,,,Poor
 Antioxidants,aluminum,sulfate,,,,,Poor
 Skin-Replenishing,amino,acid,,,,,Best
Uncategorized,aminomethyl,propanediol,,,,,Good
Absorbent,ammonium,chloride,,,,,Poor
Exfoliant,ammonium,glycolate,,,,,Best
Cleansing Agents,ammonium,laureth,sulfate,,,,Good
Cleansing Agents,ammonium,lauryl,sulfate,,,,Good
Silicones,amodimethicone,,,,,,Good
Exfoliant,amygdalic,acid,,,,,Good
 Antioxidants,amygdalic,acid,,,,,Good
Fragrance: Synthetic and Fragrant Plant Extracts,amyl,cinnamate,,,,,Poor
Fragrance: Synthetic and Fragrant Plant Extracts,amyl,salicylate,,,,,Poor
 Fragrance: Synthetic and Fragrant Plant Extracts,amyris,oil,,,,,Poor
 Exfoliant,Ananas,sativus,fruit,extract,,,Good
 Fragrance: Synthetic and Fragrant Plant Extracts,Anethum,graveolens,,,,,Average
 Fragrance: Synthetic and Fragrant Plant Extracts,Angelica,archangelica,root,oil,,,Poor
Hydration,anhydroxylitol,,,,,,GOOD
Fragrance: Synthetic and Fragrant Plant Extracts,anisaldehyde,,,,,,Poor
 Antioxidants,Anthemis,nobilis,flower,extract,,,Best
Scrub Agents,apricot,kernel,,,,,Average
Cleansing Agents,arachidyl,glucoside,,,,,Good
 Antioxidants,Arctium,lappa,,,,,Best
 Skin-Soothing,Arctium,majus,,,,,Best
Skin-Restoring,Argireline,,,,,,Average
Fragrance: Synthetic and Fragrant Plant Extracts,aroma/flavor,,,,,,Average
 Vitamins,ascorbic,acid,,,,,Best
 Vitamins,ascorbyl,glucosamine,,,,,Best
 Vitamins,ascorbyl,glucoside,,,,,Best
 Vitamins,ascorbyl,methylsilanol,pectinate,,,,Best
 Skin-Replenishing,aspartic,acid,,,,,Good
 Skin-Restoring,ATP,,,,,,Best
 Skin-Soothing,atractylodes,macrocephala,root,powder,,,Best
Sunscreen Actives,avobenzone,,,,,,Best
 Exfoliant,azelaic,acid,,,,,Best
Scrub Agents,azuki,beans,,,,,Average
Coloring Agents/Pigments,barium,sulfate,,,,,Poor
 Coloring Agents/Pigments,beet,root,extract,,,,Good
Thickeners/Emulsifiers,beheneth-5,,,,,,Good
 Cleansing Agents,behenic,acid,,,,,Good
Absorbent,bentonite,,,,,,Good
Sunscreen Actives,benzephenone-3,,,,,,Good
Preservatives,benzoic,acid,,,,,Good
Sunscreen Actives,benzophenone,,,,,,Good
Preservatives,benzothonium,chloride,,,,,Good
Anti-Acne,benzoyl,peroxide,,,,,Best
Preservatives,benzyl,alcohol,,,,,Good
 Exfoliant,beta,hydroxy,acid,,,,Best
Exfoliant,betaine,salicylate,,,,,Good
 Skin-Replenishing,beta-sitosterol,,,,,,Best
 Coloring Agents/Pigments,Beta,vulgaris,root,extract,,,Good
 Exfoliant,BHA,(beta,hydroxy,acid),,,Best
 Anti-Acne,BHA,(beta,hydroxy,acid),,,Best
Miscellaneous,bifida,ferment,lysate,,,,Good
Vitamins,biotin,,,,,,Good
 Absorbent,bismuth,oxychloride,,,,,Average
Silicones,bis-PEG-18,methyl,ether,dimethyl,silane,,Good
 Cleansing Agents,bis-PEG-18,methyl,ether,dimethyl,silane,,Good
Silicones,bis-phenylpropyl,dimethicone,,,,,Good
Coloring Agents/Pigments,blue,1,,,,,Good
Coloring Agents/Pigments,blue,1,lake,,,,Good
Preservatives,borate,,,,,,Poor
Sunscreen Actives,broad,spectrum,,,,,Good
 Exfoliant,bromelain,,,,,,Good
Coloring Agents/Pigments,bronze,powder,,,,,Good
Sunscreen Actives,bumetrizole,,,,,,Good
Film-Forming Agents,butyl,acetate,,,,,Good
 Skin-Replenishing,Butyrospermum,parkii,,,,,Best
Cleansing Agents,C20-40,pareth-40,,,,,Good
Sensitizing,calamine,,,,,,Poor
Vitamins,calcium,d-pantetheine-s-sulfonate,,,,,Good
Vitamins,calcium,pantothenate,,,,,Good
Thickeners/Emulsifiers,candelilla/jojoba/rice,bran,polyglyceryl-3,esters,,,Best
Skin-Replenishing,caprooyl,phytosphingosine,,,,,Best
 Skin-Restoring,caprooyl,phytosphingosine,,,,,Best
Skin-Replenishing,caprooyl,sphingosine,,,,,Best
 Skin-Restoring,caprooyl,sphingosine,,,,,Best
Skin-Restoring,caprooyl,tetrapeptide-3,,,,,Best
Film-Forming/Holding Agents,capryloyl,glycerin/sebacic,acid,copolymer,,,Good
Hydration,capryloyl,glycine,,,,,Good
 Preservatives,caprylyl,glycol,,,,,Good
Silicones,caprylyl,methicone,,,,,Good
 Absorbent,carnauba,wax,,,,,Good
Skin-Replenishing,ceramide,AP,,,,,Best
Skin-Replenishing,ceramide,EOP,,,,,Best
Skin-Restoring,ceramides,,,,,,Best
Emulsifiers,ceteareth-25,,,,,,Good
Thickeners/Emulsifiers,cetyl,alcohol,,,,,Good
 Silicones,cetyl,PEG/PPG-10/1-dimethicone,,,,,Good
Vitamins,choline,,,,,,Best
 Cleansing Agents,cocamide,DEA,and,MEA,,,Average
 Cleansing Agents,coconut,,,,,,Good
Skin-Softening,cocos,nucifera,(coconut),fruit,extract,,Best
Hydration,collagen,amino,acids,,,,Good
Sensitizing,comfrey,extract,,,,,Poor
Vitamins,cyanocobalamin,,,,,,Good
Sensitizing,denatured,alcohol,,,,,Poor
Scrub Agents,diatomaceous,earth,,,,,Average
 Silicones,dimethicone/vinyl,dimethicone,crosspolymer,,,,Good
 Silicones,dimethicone,crosspolymer,,,,,Good
Miscellaneous,dipotassium,phosphate,,,,,Good
 Sensitizing,elecampane,,,,,,Poor
Thickeners/Emulsifiers,emollient,,,,,,Good
Thickeners/Emulsifiers,emulsifier,,,,,,Good
 Sensitizing,English,ivy,extract,,,,Poor
 Thickeners/Emulsifiers,Enteromorpha,compressa,extract,,,,Good
 Sensitizing,Equisetum,arvense,,,,,Poor
 Preservatives,ethylhexylglycerin,,,,,,Good
 Sensitizing,eucalyptus,extract,,,,,Poor
 Sensitizing,eucalyptus,oil,,,,,Poor
 Thickeners/Emulsifiers,Euphorbia,cerifera,wax,,,,Good
Film-Forming/Holding Agents,film-forming,agent,,,,,Good
 Hydration,galactoarabinan,,,,,,Good
Thickeners,glyceryl,behenate/eicosadioate,,,,,Good
 Film-Forming/Holding Agents,glyceryl,polymethacrylate,,,,,Good
Emulsifiers,glyceryl,rosinate,,,,,Good
 Hydration,glycogen,,,,,,Good
 Skin-Soothing,glycyrrhetinic,acid,,,,,Best
 Miscellaneous,gold,,,,,,Poor
 Thickeners/Emulsifiers,guar,gum,,,,,Good
 Miscellaneous,guar,hydroxypropyltrimonium,chloride,,,,Good
