category,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,rating
Preservatives,"1,",2-Hexanediol,,,,,Good
Emollients,10-Hydroxydecanoic,Acid,,,,,Good
Emollients,4-T-butylcyclohexanol,,,,,,Good
 Skin-Soothing,4-T-butylcyclohexanol,,,,,,Good
Plant Extracts,Acacia,farnesiana,extract,,,,Poor
 Fragrance: Synthetic and Fragrant Plant Extracts,Acacia,farnesiana,extract,,,,Poor
Texture Enhancer,acacia,senegal,gum,,,,Good
 Plant Extracts,acacia,senegal,gum,,,,Good
 Skin-Soothing,acacia,senegal,gum,,,,Good
Antioxidants,acai,,,,,,Best
 Plant Extracts,acai,,,,,,Best
Plant Extracts,acerola,fruit,extract,,,,Good
Sensitizing,acetic,acid,,,,,Poor
Sensitizing,acetone,,,,,,Poor
Texture Enhancer,acetylated,castor,oil,,,,Good
 Emollients,acetylated,castor,oil,,,,Good
Texture Enhancer,acetylated,hydrogenated,cottonseed,glyceride,,,Good
 Emollients,acetylated,hydrogenated,cottonseed,glyceride,,,Good
Emollients,acetylated,lanolin,,,,,Good
Emollients,acetylated,lanolin,alcohol,,,,Good
Texture Enhancer,acetylated,palm,kernel,glycerides,,,Good
 Emollients,acetylated,palm,kernel,glycerides,,,Good
Antioxidants,acetyl,carnitine,HCL,,,,Best
Skin-Replenishing,acetyl,glucosamine,,,,,Best
Texture Enhancer,acetyl,glyceryl,ricinoleate,,,,Good
 Emollients,acetyl,glyceryl,ricinoleate,,,,Good
Skin-Restoring,acetyl,hexapeptide-8,,,,,Good
Skin-Restoring,acetyl,octapeptide-3,,,,,Good
Film-Forming/Holding Agents,acetyl,tributyl,citrate,,,,Average
Hydration,acetyl,tyrosine,,,,,Good
Skin-Soothing,Achillea,millefolium,,,,,Poor
 Plant Extracts,Achillea,millefolium,,,,,Poor
Miscellaneous,acid,,,,,,Average
Cleansing Agents,acne,soap,,,,,Poor
Texture Enhancer,acrylate,,,,,,Good
Texture Enhancer,acrylates/C10-30,alkyl,acrylate,crosspolymer,,,Good
Silicones,acrylates/dimethicone,copolymer,,,,,Good
 Texture Enhancer,acrylates/dimethicone,copolymer,,,,,Good
Texture Enhancer,acrylates/steareth-20,methacrylate,copolymer,,,,Good
Texture Enhancer,acrylates,copolymer,,,,,Good
Plant Extracts,Actaea,racemosa,,,,,Average
Skin-Soothing,adenosine,,,,,,Best
 Skin-Restoring,adenosine,,,,,,Best
Skin-Soothing,adenosine,triphosphate,,,,,Best
 Skin-Restoring,adenosine,triphosphate,,,,,Best
Texture Enhancer,adipic,acid/neopentyl,glycol/trimellitic,anhydride,copolymer,,Good
Miscellaneous,advanced,glycation,endproduct,,,,Poor
Plant Extracts,Aerocarpus,santalinus,,,,,Poor
 Fragrance: Synthetic and Fragrant Plant Extracts,Aerocarpus,santalinus,,,,,Poor
Skin-Soothing,Aesculus,hippocastanum,,,,,Good
 Plant Extracts,Aesculus,hippocastanum,,,,,Good
Antioxidants,agar,,,,,,Good
 Plant Extracts,agar,,,,,,Good
 Emollients,agar,,,,,,Good
 Texture Enhancer,agar,,,,,,Good
Miscellaneous,AGE,,,,,,Poor
Antioxidants,Agrimonia,eupatoria,leaf,extract,,,Average
 Plant Extracts,Agrimonia,eupatoria,leaf,extract,,,Average
Exfoliant,AHA,,,,,,Best
Antioxidants,Ahnfeltia,concinna,extract,,,,Good
 Texture Enhancer,Ahnfeltia,concinna,extract,,,,Good
 Plant Extracts,Ahnfeltia,concinna,extract,,,,Good
 Emollients,Ahnfeltia,concinna,extract,,,,Good
Antioxidants,ahnfeltia,extract,,,,,Good
 Emollients,ahnfeltia,extract,,,,,Good
 Texture Enhancer,ahnfeltia,extract,,,,,Good
 Plant Extracts,ahnfeltia,extract,,,,,Good
Antioxidants,alanine,,,,,,Good
Antioxidants,Alaria,esculenta,,,,,Good
 Emollients,Alaria,esculenta,,,,,Good
 Plant Extracts,Alaria,esculenta,,,,,Good
 Texture Enhancer,Alaria,esculenta,,,,,Good
Texture Enhancer,albumin,,,,,,Poor
Uncategorized,alcloxa,,,,,,Poor
Emollients,alcohol,,,,,,Average
 Cleansing Agents,alcohol,,,,,,Average
Plant Extracts,Aleurites,moluccana,seed,oil,,,Best
 Antioxidants,Aleurites,moluccana,seed,oil,,,Best
Antioxidants,alfalfa,extract,,,,,Best
 Plant Extracts,alfalfa,extract,,,,,Best
Antioxidants,algae,,,,,,Good
 Emollients,algae,,,,,,Good
 Texture Enhancer,algae,,,,,,Good
 Plant Extracts,algae,,,,,,Good
Antioxidants,algae,extract,,,,,Good
 Emollients,algae,extract,,,,,Good
 Texture Enhancer,algae,extract,,,,,Good
 Plant Extracts,algae,extract,,,,,Good
Antioxidants,algin,,,,,,Good
 Texture Enhancer,algin,,,,,,Good
 Emollients,algin,,,,,,Good
 Plant Extracts,algin,,,,,,Good
Uncategorized,aliphatic,hydrocarbon,,,,,Good
Uncategorized,alkaline,,,,,,Poor
Texture Enhancer,alkyloamides,,,,,,Average
Skin-Soothing,allantoin,,,,,,Best
Texture Enhancer,allyl,methacrylates,crosspolymer,,,,Good
Emollients,almond,oil,,,,,Best
 Skin-Replenishing,almond,oil,,,,,Best
Skin-Soothing,Aloe,barbadensis,,,,,Good
 Plant Extracts,Aloe,barbadensis,,,,,Good
Skin-Soothing,aloe,barbadensis,leaf,juice,extract,,Good
 Plant Extracts,aloe,barbadensis,leaf,juice,extract,,Good
Plant Extracts,aloe,barbadensis,leaf,juice,powder,,Good
Skin-Soothing,aloe,extract,,,,,Good
 Plant Extracts,aloe,extract,,,,,Good
Skin-Soothing,aloe,juice,,,,,Good
 Plant Extracts,aloe,juice,,,,,Good
Skin-Soothing,aloe,vera,,,,,Good
 Plant Extracts,aloe,vera,,,,,Good
Skin-Soothing,alpha,bisabolol,,,,,Best
 Plant Extracts,alpha,bisabolol,,,,,Best
Emollients,alpha,glucan,oligosaccharide,,,,Best
Exfoliant,alpha,hydroxy,acid,,,,Best
Fragrance: Synthetic and Fragrant Plant Extracts,alpha,isomethyl,ionone,,,,Poor
Antioxidants,alpha,lipoic,acid,,,,Best
Antioxidants,alpha-tocopherol,,,,,,Best
 Vitamins,alpha-tocopherol,,,,,,Best
Plant Extracts,Alteromonas,ferment,extract,,,,Good
Skin-Soothing,Althaea,rosea,,,,,Good
 Texture Enhancer,Althaea,rosea,,,,,Good
 Plant Extracts,Althaea,rosea,,,,,Good
Skin-Soothing,Althea,officinalis,,,,,Best
 Plant Extracts,Althea,officinalis,,,,,Best
Texture Enhancer,alumina,,,,,,Good
 Scrub Agents,alumina,,,,,,Good
 Absorbent,alumina,,,,,,Good
Uncategorized,aluminum,,,,,,Good
Texture Enhancer,Aluminum,hydroxide,,,,,Good
 Absorbent,Aluminum,hydroxide,,,,,Good
Absorbent,aluminum,magnesium,silicate,,,,Good
Coloring Agents/Pigments,aluminum,powder,,,,,Good
Absorbent,aluminum,silicate,,,,,Good
 Scrub Agents,aluminum,silicate,,,,,Good
Texture Enhancer,aluminum,starch,octenylsuccinate,,,,Good
 Absorbent,aluminum,starch,octenylsuccinate,,,,Good
Texture Enhancer,aluminum,stearate,,,,,Good
Absorbent,aluminum,sulfate,,,,,Poor
 Antioxidants,aluminum,sulfate,,,,,Poor
Antioxidants,amino,acid,,,,,Best
 Skin-Replenishing,amino,acid,,,,,Best
Skin-Soothing,aminobutyric,acid,,,,,Average
Uncategorized,aminomethyl,propanediol,,,,,Good
Uncategorized,aminomethyl,propanol,,,,,Good
Texture Enhancer,ammonium,acryloyldimethyltaurate/VP,copolymer,,,,Good
Absorbent,ammonium,chloride,,,,,Poor
Exfoliant,ammonium,glycolate,,,,,Best
Uncategorized,ammonium,hydroxide,,,,,Average
Cleansing Agents,ammonium,laureth,sulfate,,,,Good
Cleansing Agents,ammonium,lauryl,sulfate,,,,Good
Silicones,amodimethicone,,,,,,Good
 Emollients,amodimethicone,,,,,,Good
 Texture Enhancer,amodimethicone,,,,,,Good
Exfoliant,amygdalic,acid,,,,,Good
 Antioxidants,amygdalic,acid,,,,,Good
Fragrance: Synthetic and Fragrant Plant Extracts,amyl,cinnamate,,,,,Poor
Fragrance: Synthetic and Fragrant Plant Extracts,amyl,salicylate,,,,,Poor
Plant Extracts,amyris,oil,,,,,Poor
 Fragrance: Synthetic and Fragrant Plant Extracts,amyris,oil,,,,,Poor
Plant Extracts,Anacyclus,pyrethrum,,,,,Poor
Antioxidants,Anacystis,nidulans,extract,,,,Good
 Plant Extracts,Anacystis,nidulans,extract,,,,Good
 Texture Enhancer,Anacystis,nidulans,extract,,,,Good
 Emollients,Anacystis,nidulans,extract,,,,Good
Plant Extracts,Ananas,sativus,fruit,extract,,,Good
 Exfoliant,Ananas,sativus,fruit,extract,,,Good
Skin-Soothing,andiroba,oil,,,,,Good
 Plant Extracts,andiroba,oil,,,,,Good
Plant Extracts,Anethum,graveolens,,,,,Average
 Fragrance: Synthetic and Fragrant Plant Extracts,Anethum,graveolens,,,,,Average
Antioxidants,Angelica,archangelica,root,oil,,,Poor
 Plant Extracts,Angelica,archangelica,root,oil,,,Poor
 Fragrance: Synthetic and Fragrant Plant Extracts,Angelica,archangelica,root,oil,,,Poor
Antioxidants,Angelica,polymorpha,sinensis,root,extract,,Poor
 Plant Extracts,Angelica,polymorpha,sinensis,root,extract,,Poor
Hydration,anhydroxylitol,,,,,,GOOD
Fragrance: Synthetic and Fragrant Plant Extracts,anisaldehyde,,,,,,Poor
Antioxidants,anise,,,,,,Poor
 Fragrance: Synthetic and Fragrant Plant Extracts,anise,,,,,,Poor
Plant Extracts,annato,extract,,,,,Good
Skin-Soothing,Anthemis,nobilis,flower,extract,,,Best
 Antioxidants,Anthemis,nobilis,flower,extract,,,Best
Antioxidants,anthocyanin,,,,,,Best
 Plant Extracts,anthocyanin,,,,,,Best
Antioxidants,antioxidant,,,,,,Best
Antioxidants,apple,fruit,extract,,,,Best
 Plant Extracts,apple,fruit,extract,,,,Best
Scrub Agents,apricot,kernel,,,,,Average
Plant Extracts,apricot,kernel,oil,,,,Best
 Emollients,apricot,kernel,oil,,,,Best
Texture Enhancer,arachidic,acid,,,,,Good
 Emollients,arachidic,acid,,,,,Good
Texture Enhancer,arachidyl,alcohol,,,,,Good
 Emollients,arachidyl,alcohol,,,,,Good
Cleansing Agents,arachidyl,glucoside,,,,,Good
Texture Enhancer,arachidyl,propionate,,,,,Good
 Emollients,arachidyl,propionate,,,,,Good
Skin-Soothing,Arachis,hypogaea,extract,,,,Best
 Emollients,Arachis,hypogaea,extract,,,,Best
 Plant Extracts,Arachis,hypogaea,extract,,,,Best
Plant Extracts,arbutin,,,,,,Best
Skin-Soothing,Arctium,lappa,,,,,Best
 Plant Extracts,Arctium,lappa,,,,,Best
 Antioxidants,Arctium,lappa,,,,,Best
