,categories,descriptions,rating,title
0,['Preservatives'],"<p class=""description ingredient-description"">
				                	A preservative belonging to a class of agents known as higher molecular glycols.
				                </p>",Good,"1, 2-Hexanediol"
1,['Emollients'],"<p class=""description ingredient-description"">
				                	A synthetic ingredient that functions as a skin-conditioning and occlusive agent.
				                </p>",Good,10-Hydroxydecanoic Acid
2,"['Emollients', 'Skin-Soothing']","<p class=""description ingredient-description"">
<p>A synthetic fatty alcohol that functions as an emollient and soothing agent...</p>
</p>",Good,4-T-butylcyclohexanol
3,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']","<p class=""description ingredient-description"">
				                	A fragrant extract from a type of acacia tree. There is no research showing it to have any benefit...
				                </p>",Poor,Acacia farnesiana extract
4,"['Texture Enhancer', 'Plant Extracts', 'Skin-Soothing']","<p class=""description ingredient-description"">
				                	Herb that can have skin soothing properties, but is used primarily as a thickening agent.
				                </p>",Good,acacia senegal gum
5,"['Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Pronounced ""ah-sigh-ee"", this small berry with a deep purple color is a source of...
				                </p>",Best,acai
6,['Plant Extracts'],"<p class=""description ingredient-description"">
				                	Acerola contains vitamin C. However, the dry acerola fruit and powder are unlikely to be a good...
				                </p>",Good,acerola fruit extract
7,['Sensitizing'],"<p class=""description ingredient-description"">
				                	Acid found in vinegar, some fruits, and human sweat. It can be sensitizing to skin...
				                </p>",Poor,acetic acid
8,['Sensitizing'],"<p class=""description ingredient-description"">
				                	Strong solvent that is used in Nail Polish removers.
				                </p>",Poor,acetone
9,"['Texture Enhancer', 'Emollients']","<p class=""description ingredient-description"">
				                	Used as an emollient and thickening agent in cosmetics.
				                </p>",Good,acetylated castor oil
10,"['Texture Enhancer', 'Emollients']","<p class=""description ingredient-description"">
				                	Used as an emollient and thickening agent in cosmetics.
				                </p>",Good,acetylated hydrogenated cottonseed glyceride
11,['Emollients'],"<p class=""description ingredient-description"">
				                	Emollient derived from lanolin.
				                </p>",Good,acetylated lanolin
12,['Emollients'],"<p class=""description ingredient-description"">
				                	An ester of lanolin alcohol uses as an emollient and occlusive agent. An ester is a compound formed...
				                </p>",Good,acetylated lanolin alcohol
13,"['Texture Enhancer', 'Emollients']","<p class=""description ingredient-description"">
				                	Used as an emollient and thickening agent in cosmetics.
				                </p>",Good,acetylated palm kernel glycerides
14,['Antioxidants'],,Best,acetyl carnitine HCL
15,['Skin-Replenishing'],"<p class=""description ingredient-description"">
				                	Amino acid sugar and primary constituent of mucopolysaccharides and hyaluronic acid.
				                </p>",Best,acetyl glucosamine
16,"['Texture Enhancer', 'Emollients']","<p class=""description ingredient-description"">
				                	Used as an emollient and thickening agent in cosmetics.
				                </p>",Good,acetyl glyceryl ricinoleate
17,['Skin-Restoring'],"<p class=""description ingredient-description"">
				                	Synthetically derived peptide that is used in a wide range of skincare and makeup...
				                </p>",Good,acetyl hexapeptide-8
18,['Skin-Restoring'],"<p class=""description ingredient-description"">
				                	A synthetic peptide that is based around octapeptide-3, a peptide complex composed of the amino acids aspartic acid, glutamic acid, glutamine, and methionine...
				                </p>",Good,acetyl octapeptide-3
19,['Film-Forming/Holding Agents'],"<p class=""description ingredient-description"">
				                	Related to citric acid and used as a plasticizer, most commonly in nail polish and nail-hardening...
				                </p>",Average,acetyl tributyl citrate
20,['Hydration'],"<p class=""description ingredient-description"">
				                	An amino acid complex that functions as a skin-conditioning agent. There is no research proving it...
				                </p>",Good,acetyl tyrosine
21,"['Skin-Soothing', 'Plant Extracts']",,Poor,Achillea millefolium
22,['Miscellaneous'],"<p class=""description ingredient-description"">
				                	Anything with a pH lower than 7 is considered acidic—above 7 is considered alkaline. Water has a pH...
				                </p>",Average,acid
23,['Cleansing Agents'],"<p class=""description ingredient-description"">
				                	Soaps that often contain strong cleansing ingredients, they are often overly drying and...
				                </p>",Poor,acne soap
24,['Texture Enhancer'],,Good,acrylate
25,['Texture Enhancer'],"<p class=""description ingredient-description"">
				                	A synthetic ingredient used to enhance the texture of skincare and haircare products.
				                </p>",Good,acrylates/C10-30 alkyl acrylate crosspolymer
26,"['Silicones', 'Texture Enhancer']","<p class=""description ingredient-description"">
				                	A silicone-enhanced film-forming agent. Also functions as a binding agent so products adhere better...
				                </p>",Good,acrylates/dimethicone copolymer
27,['Texture Enhancer'],"<p class=""description ingredient-description"">
				                	A synthetic polymer that blends stearth-20 with one or more forms of methacrylic acid. Functions as...
				                </p>",Good,acrylates/steareth-20 methacrylate copolymer
28,['Texture Enhancer'],,Good,acrylates copolymer
29,['Plant Extracts'],,Average,Actaea racemosa
30,"['Skin-Soothing', 'Skin-Restoring']","<p class=""description ingredient-description"">
				                	Yeast-derived ingredient that functions as a good soothing and skin-restoring agent.
				                </p>",Best,adenosine
31,"['Skin-Soothing', 'Skin-Restoring']","<p class=""description ingredient-description"">
				                	An organic compound from adenosine, which is formed by the hydrolysis of yeast nucleic acids. All...
				                </p>",Best,adenosine triphosphate
32,['Texture Enhancer'],"<p class=""description ingredient-description"">
				                	A synthetic polymer.
				                </p>",Good,adipic acid/neopentyl glycol/trimellitic anhydride copolymer
33,['Miscellaneous'],"<p class=""description ingredient-description"">
				                	Advanced glycation endproducts, also known as AGEs, are caused by the body's major fuel source,...
				                </p>",Poor,advanced glycation endproduct
34,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']",,Poor,Aerocarpus santalinus
35,"['Skin-Soothing', 'Plant Extracts']",,Good,Aesculus hippocastanum
36,"['Antioxidants', 'Plant Extracts', 'Emollients', 'Texture Enhancer']",,Good,agar
37,['Miscellaneous'],,Poor,AGE
38,"['Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Research shows this plant extract has antioxidant properties....
				                </p>",Average,Agrimonia eupatoria leaf extract
39,['Exfoliant'],"<p class=""description ingredient-description"">
				                	AHA is the acronym for alpha hydroxy acid, which is derived from various plant sources or from milk.
				                </p>",Best,AHA
40,"['Antioxidants', 'Texture Enhancer', 'Plant Extracts', 'Emollients']",,Good,Ahnfeltia concinna extract
41,"['Antioxidants', 'Emollients', 'Texture Enhancer', 'Plant Extracts']",,Good,ahnfeltia extract
42,['Antioxidants'],,Good,alanine
43,"['Antioxidants', 'Emollients', 'Plant Extracts', 'Texture Enhancer']",,Good,Alaria esculenta
44,['Texture Enhancer'],"<p class=""description ingredient-description"">
				                	Found in egg white, and can leave a film over skin. It can constrict skin temporarily, which can...
				                </p>",Poor,albumin
45,['Uncategorized'],"<p class=""description ingredient-description"">
				                	More technically known as aluminum chlorhydroxy allantoinate, alcloxa has constricting properties...
				                </p>",Poor,alcloxa
46,"['Emollients', 'Cleansing Agents']","<p class=""description ingredient-description"">
				                	A group of organic compounds with a vast range of forms and uses in cosmetics...
				                </p>",Average,alcohol
47,"['Plant Extracts', 'Antioxidants']",,Best,Aleurites moluccana seed oil
48,"['Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Can be an antioxidant in skincare products…
				                </p>",Best,alfalfa extract
49,"['Antioxidants', 'Emollients', 'Texture Enhancer', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Algae are very simple, chlorophyll-containing organisms in a family that includes more than 20,000...
				                </p>",Good,algae
50,"['Antioxidants', 'Emollients', 'Texture Enhancer', 'Plant Extracts']",,Good,algae extract
51,"['Antioxidants', 'Texture Enhancer', 'Emollients', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Brown algae.
				                </p>",Good,algin
52,['Uncategorized'],"<p class=""description ingredient-description"">
				                	Hydrocarbon contained in natural gas and mineral oils. It is a synthetic fluid with varying...
				                </p>",Good,aliphatic hydrocarbon
53,['Uncategorized'],"<p class=""description ingredient-description"">
				                	Anything with a pH higher than 7 is alkaline; a pH below 7 is acidic. Water has a pH of 7; skin has...
				                </p>",Poor,alkaline
54,['Texture Enhancer'],"<p class=""description ingredient-description"">
				                	Identified on skin-care product labels as DEA, triethanolamine (TEA), and monoethanolamine (MEA),...
				                </p>",Average,alkyloamides
55,['Skin-Soothing'],"<p class=""description ingredient-description"">
				                	By-product of uric acid extracted from urea and considered an effective skin-soothing and skin-conditioning agent.
				                </p>",Best,allantoin
56,['Texture Enhancer'],"<p class=""description ingredient-description"">
				                	A synthetic, non-aqueous polymer whose chief function is film-forming agent.
				                </p>",Good,allyl methacrylates crosspolymer
57,"['Emollients', 'Skin-Replenishing']","<p class=""description ingredient-description"">
				                	Non-volatile oil extracted from the seeds of almonds and used as an emollient.
				                </p>",Best,almond oil
58,"['Skin-Soothing', 'Plant Extracts']",,Good,Aloe barbadensis
59,"['Skin-Soothing', 'Plant Extracts']",,Good,aloe barbadensis leaf juice extract
60,['Plant Extracts'],"<p class=""description ingredient-description"">
				                	This form of aloe is the powder form of the aloe barbadensis leaf plant...
				                </p>",Good,aloe barbadensis leaf juice powder
61,"['Skin-Soothing', 'Plant Extracts']",,Good,aloe extract
62,"['Skin-Soothing', 'Plant Extracts']",,Good,aloe juice
63,"['Skin-Soothing', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	There is no real evidence that aloe vera (Aloe barbadenis) helps the skin in any significant way....
				                </p>",Good,aloe vera
64,"['Skin-Soothing', 'Plant Extracts']",,Best,alpha bisabolol
65,['Emollients'],"<p class=""description ingredient-description"">
				                	Emollient used in cosmetics that also has water-binding properties.
				                </p>",Best,alpha glucan oligosaccharide
66,['Exfoliant'],,Best,alpha hydroxy acid
67,['Fragrance: Synthetic and Fragrant Plant Extracts'],"<p class=""description ingredient-description"">
				                	Alpha isomethyl ionone is a fragrance ingredient that must be listed on products that contain it due to its risk of causing a sensitized reaction.
				                </p>",Poor,alpha isomethyl ionone
68,['Antioxidants'],"<p class=""description ingredient-description"">
				                	Enzyme that, when applied topically on skin, appears to be a very good antioxidant. Taken...
				                </p>",Best,alpha lipoic acid
69,"['Antioxidants', 'Vitamins']",,Best,alpha-tocopherol
70,['Plant Extracts'],"<p class=""description ingredient-description"">
				                	Alteromonas is found in deep areas of seawater.
				                </p>",Good,Alteromonas ferment extract
71,"['Skin-Soothing', 'Texture Enhancer', 'Plant Extracts']",,Good,Althaea rosea
72,"['Skin-Soothing', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Latin name for the marshmallow plant.
				                </p>",Best,Althea officinalis
73,"['Texture Enhancer', 'Scrub Agents', 'Absorbent']","<p class=""description ingredient-description"">
				                	Aluminum oxide, which is used as an abrasive, a thickening agent, and an absorbent in cosmetics.
				                </p>",Good,alumina
74,['Uncategorized'],"<p class=""description ingredient-description"">
				                	Aluminum is the most common element on Earth. It's also a common source of confusion in terms of its presence in cosmetics, specifically whether that presence poses a health risk.
				                </p>",Good,aluminum
75,"['Texture Enhancer', 'Absorbent']","<p class=""description ingredient-description"">
				                	A synthetic ingredient that functions as an opacifying agent. Secondary uses...
				                </p>",Good,Aluminum hydroxide
76,['Absorbent'],"<p class=""description ingredient-description"">
				                	Salt that has absorbent properties.
				                </p>",Good,aluminum magnesium silicate
77,['Coloring Agents/Pigments'],"<p class=""description ingredient-description"">
				                	Metallic element used as a coloring agent. It is composed of finely ground particles of aluminum....
				                </p>",Good,aluminum powder
78,"['Absorbent', 'Scrub Agents']","<p class=""description ingredient-description"">
				                	Salt that has absorbent and abrasive properties.
				                </p>",Good,aluminum silicate
79,"['Texture Enhancer', 'Absorbent']","<p class=""description ingredient-description"">
				                	Powdery thickening agent, absorbent, and anticaking agent used in cosmetics.
				                </p>",Good,aluminum starch octenylsuccinate
80,['Texture Enhancer'],"<p class=""description ingredient-description"">
				                	The aluminum salt of stearic acid that functions as a thickening agent and helps stabilize products.
				                </p>",Good,aluminum stearate
81,"['Absorbent', 'Antioxidants']","<p class=""description ingredient-description"">
				                	It can sensitizing to skin.
				                </p>",Poor,aluminum sulfate
82,"['Antioxidants', 'Skin-Replenishing']","<p class=""description ingredient-description"">
				                	Fundamental constituents of all proteins found in the body, such as: alanine, arginine, asparagine,...
				                </p>",Best,amino acid
83,['Skin-Soothing'],"<p class=""description ingredient-description"">
				                	Amino acid that has water-binding properties and may provide soothing benefits for skin. It...
				                </p>",Average,aminobutyric acid
84,['Uncategorized'],"<p class=""description ingredient-description"">
				                	Used to adjust pH in cosmetics.
				                </p>",Good,aminomethyl propanediol
85,['Uncategorized'],"<p class=""description ingredient-description"">
				                	Synthetic ingredient used in cosmetics as a pH adjuster.
				                </p>",Good,aminomethyl propanol
86,['Texture Enhancer'],"<p class=""description ingredient-description"">
				                	A synthetic polymer and film-forming agent that also serves to thicken cosmetic formulas...
				                </p>",Good,ammonium acryloyldimethyltaurate/VP copolymer
87,['Absorbent'],"<p class=""description ingredient-description"">
				                	Alkaline salt used as a pH balancer in skincare products; it is not used in concentrations that...
				                </p>",Poor,ammonium chloride
88,['Exfoliant'],"<p class=""description ingredient-description"">
				                	Synthetic form of glycolic acid used as a pH adjuster and exfoliant. It is sometimes paired with...
				                </p>",Best,ammonium glycolate
89,['Uncategorized'],"<p class=""description ingredient-description"">
				                	Clear, colorless liquid used in cosmetics to adjust a product's pH level. Ammonium hydroxide is...
				                </p>",Average,ammonium hydroxide
