,asin,ingredients,cleaned_ingredients
0,B075WYBVQQ,"Water, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Glycerin, Niacinamide, Isohexadecane, Isopropyl Isostearate, Panthenol, Camellia Sinensis Leaf Extract, Dimethicone, Stearyl Alcohol, Sodium Polyacrylate Starch, Cetyl Alcohol, Caprylyl Glycol, 1,2-Hexanediol, Phenoxyethanol, Inositol, Behenyl Alcohol, Dimethiconol, Peg-100 Stearate, Fragrance, Cetearyl Glucoside, Cetearyl Alcohol, Stearic Acid, Palmitic Acid, Bht, Disodium Edta, Zinc Gluconate, Magnesiumaspartate, Copper Gluconate. Vitamin B3, Pro-Vitamin B5, Green Tea","['cetearyl', 'polyacrylate', 'inositol', 'crosspolymer', 'vitamin', 'bht', 'stearic', 'dimethicone', 'zinc', 'green', 'isostearate', 'magnesiumaspartate', 'tea', 'sodium', 'copper', 'starch', 'gluconate', 'peg-100', 'silsesquioxane', 'edta', 'glycol', 'caprylyl', 'vinyl', 'camellia', 'alcohol', 'dimethiconol', 'palmitic', 'disodium', 'glycer', 'extract', 'glucoside', 'pro-vitamin', 'phenoxyethanol', '12-hexanediol', 'panthenol', 'fragrance', 'isopropyl', 'methicone', 'isohexadecane', 'cetyl', 'stearate', 'niacinamide', 'b3', 'stearyl', 'leaf', 'sinensis', 'behenyl', 'b5']"
1,B076BV27WQ,retinols,['retinols']
2,B01ATYTOYE," Titanium Dioxide 2.32%, Zinc Oxide 6% (sunscreens); Other Ingredients","['232', 'sunscreens', 'dioxide', 'zinc', 'oxide', '6', 'titanium']"
3,B01M7WGQ9P,"Aqua (Water, Eau), Ethylhexyl Stearate, Glycerin, Raphanus Sativus (Radish) Seed Oil, Jojoba Esters, Butyrospermum Parkii (Shea) Butter, Sorbitol, Dimethicone, Glyceryl Stearate SE, Cetyl Alcohol, Caprylic/Capric Triglyceride, Beeswax (Cera Alba, Cire d'Abeille), Candelilla/Jojoba/Rice Bran Polyglyceryl-3 Esters, Glyceryl Stearate, Lecithin, Calendula Officinalis (Marigold) Flower Extract, Chamomilla Recutita (Matricaria) Flower Extract, Adansonia Digitata (Baobab) Seed Oil, Alaria Esculenta (Brown Algae) Extract, Malpighia Glabra (Acerola) Fruit Extract, Opuntia Ficus-Indica (Barbary Fig) Extract, Lavandula Hybrida (Lavandin) Oil, Fagus Sylvatica (Beech) Bud Extract, Hydrolyzed Hyaluronic Acid, Sodium Phytate, Lavandula Angustifolia (Lavender) Oil, Pelargonium Graveolens (Geranium) Oil, Pogostemon Cablin (Patchouli) Oil, Anthemis Nobilis (Chamomile) Flower Oil, Abies Sibirica (Fir Needle) Oil, Cetearyl Alcohol, Cymbopogon Martini (Palma Rosa) Oil, Xanthan Gum, Glucose, Glucose Oxidase, Lactoperoxidase, Maltodextrin, Sodium Stearoyl Lactylate, Potassium Sorbate, Citric Acid","['officinalis', 'cetearyl', 'recutita', 'alba', 'anthemis', 'caprylic', 'matricaria', 'cymbopogon', 'sativus', 'brown', 'pogostemon', 'fruit', 'sodium', 'fir', 'beech', 'alcohol', 'cera', 'glycer', 'opuntia', 'parkii', 'lavender', 'fagus', 'ethylhexyl', 'rosa', 'cablin', 'beeswax', 'algae', 'citric', 'cire', 'palma', 'glucose', 'hybrida', 'polyglycer-3', 'shea', 'hyaluronic', 'stearoyl', 'patchouli', ""d'abeille"", 'lecithin', 'angustifolia', 'chamomilla', 'oxidase', 'xanthan', 'glabra', 'martini', 'hydrolyzed', 'barbary', 'ficus-indica', 'acerola', 'malpighia', 'eau', 'abies', 'candelilla', 'bran', 'se', 'dimethicone', 'lavandin', 'needle', 'triglyceride', 'lactylate', 'marigold', 'potassium', 'maltodextrin', 'adansonia', 'esters', 'sorbitol', 'chamomile', 'alaria', 'capric', 'stearate', 'esculenta', 'graveolens', 'geranium', 'lactoperoxidase', 'baobab', 'rice', 'butyrospermum', 'butter', 'bud', 'sylvatica', 'phytate', 'digitata', 'sibirica', 'radish', 'lavandula', 'extract', 'nobilis', 'gum', 'flower', 'pelargonium', 'sorbate', 'raphanus', 'cetyl', 'calendula', 'fig']"
4,B073ZKKSSB,hyaluronic-acid,['hyaluronic']
5,B00027DMJW," Avobenzone 3%, Octinoxate 7.5%. Inactive","['octinoxate', '75', 'avobenzone', 'inactive', '3']"
6,B075ZZ31KL,"Aqua (Water), Hamamelis Virginiana Water (Witch Hazel), Cassia Angustifolia Seed Polysaccharide (Plant Based Hyaluronic Acid), Glycerin (Kosher, Vegetable Glycerin), Aloe Barbadensis Leaf (Organic Aloe) Extract, Dimethyl Sulfone (MSM), Hydoxyethyl Ethylcellulose, Simondsia Chinensis (Organic Jojoba) Oil, Carrageenan Gum, Tocopheryl Acetate (Vitamin E), Sodium Ascorbyl Phosphate (Vitamin C), Phenoxyethanol, Sodium Benzoate, Potassium Sorbate, Ethylhexylglycerin, Pelargonium Graveolens (Geranium Essential) Oil, Camellia Sinensis (Organic Green Tea) Extract, Centella Asiatica (Organic Gotu Kola) Extract, Equisetum Arvense (Horsetail) Extract, Geranium Maculatum (Wild Geranium) Extract, Taraxacum Officinale (Dandelion) Extract.","['graveolens', 'geranium', 'wild', 'arvense', 'chinensis', 'officinale', 'vitamin', 'plant', 'aloe', 'carrageenan', 'taraxacum', 'dandelion', 'based', 'phosphate', 'hamamelis', 'acetate', 'c', 'cassia', 'green', 'polysaccharide', 'simondsia', 'centella', 'kola', 'horsetail', 'tea', 'sodium', 'hydoxyethyl', 'maculatum', 'hyaluronic', 'barbadensis', 'essential', 'ethylcellulose', 'potassium', 'camellia', 'e', 'asiatica', 'angustifolia', 'ethylhexylglycer', 'witch', 'glycer', 'kosher', 'extract', 'equisetum', 'gotu', 'phenoxyethanol', 'vegetable', 'ascorbyl', 'gum', 'msm', 'virginiana', 'sorbate', 'tocopheryl', 'pelargonium', 'sulfone', 'hazel', 'leaf', 'sinensis', 'dimethyl', 'benzoate']"
7,B076CXT8SR,antioxidants,['antioxidants']
8,B073Q6Z43M,"Water, Isononyl Isononanoate, Pentaerythrityl Tetraethylhexanoate, Cetyl Ethylhexanoate, Isostearyl Palmitate, Cyclopentasiloxane, Hexylene Glycol, PEG-6 Caprylic/Capric Glycerides, Phenoxyethanol, Sucrose Cocoate, Fragrance, Carbomer, PEG-4 Laurate, Sodium Hydroxide, Benzoic Acid, Dehydroacetic Acid, Chrysanthemum Parthenium (Feverfew) Flower/Leaf/Stem Juice, Iodopropynyl Butylcarbamate, Glycerin, Cucumis Sativus (Cucumber) Fruit Extract, Aloe Barbadensis Leaf Extract.","['isostearyl', 'chrysanthemum', 'caprylic', 'parthenium', 'aloe', 'cocoate', 'sativus', 'feverfew', 'carbomer', 'laurate', 'stem', 'sodium', 'fruit', 'iodopropynyl', 'juice', 'butylcarbamate', 'glycol', 'isononanoate', 'barbadensis', 'palmitate', 'dehydroacetic', 'sucrose', 'peg-4', 'tetraethylhexanoate', 'glycer', 'cyclopentasiloxane', 'peg-6', 'extract', 'phenoxyethanol', 'cucumis', 'fragrance', 'cucumber', 'glycerides', 'capric', 'hydroxide', 'flower', 'ethylhexanoate', 'hexylene', 'cetyl', 'benzoic', 'isononyl', 'pentaerythrityl', 'leaf']"
9,B01GGKI61C," Water, Ppg-15 Stearyl Ether, Glycerin, Oxidized Polyethylene, Stearyl Alcohol, CetylBetaine, Salicylic Acid, Distearyldimonium Chloride, Sodium Lauryl Sulfate, Cetyl Alcohol, Steareth-21, Behenyl Alcohol, Ppg-30, Steareth-2, Panthenol, Tocopheryl Acetate, Carnosine+, Disodium Edta,Ascorbic Acid++, Fragrance, Iron Oxides.Beta-Hydroxy, Pro-Vitamin B5, Vitamin E, +Amino-Peptide, ++Vitamin CRegenerist Micro Sculpting Cream","['sculpting', 'edtaascorbic', 'cream', '++vitamin', 'sulfate', 'vitamin', '+amino-peptide', 'iron', 'distearyldimonium', 'ppg-30', 'acetate', 'chloride', 'sodium', 'cetylbetaine', 'carnosine+', 'ether', 'alcohol', 'oxidized', 'e', 'steareth-2', 'glycer', 'disodium', 'pro-vitamin', 'cregenerist', 'salicylic', 'panthenol', 'fragrance', 'micro', 'polyethylene', 'steareth-21', 'lauryl', 'oxidesbeta-hydroxy', 'acid++', 'tocopheryl', 'cetyl', 'stearyl', 'ppg-15', 'behenyl', 'b5']"
10,B06Y2K28G1,"Hemp & Grape Seed Oil, Sweet Almond, Sunflower, Chamomile, Coconut, Japanese Green Tea, Organic Safflower, Organic Jojoba, Organic Shea Butter, Organic Chamomilla, Matricaria), Lavender, Geranium, Aloe Vera, Vitamin E, Vitamin A, in a 4% Matrixyl Peptide Solution","['japanese', 'geranium', 'peptide', 'solution', 'vitamin', 'matricaria', 'aloe', 'almond', 'butter', 'green', 'hemp', 'tea', 'shea', '4', 'matrixyl', 'e', 'chamomilla', 'sweet', 'chamomile', 'vera', 'sunflower', 'lavender', 'coconut', 'grape', 'safflower']"
11,B004V4MQ2Q,"Hemp & Grape Seed Oil, Sweet Almond, Sunflower, Chamomile, Coconut, Japanese Green Tea, Organic Safflower, Organic Jojoba, Organic Shea Butter, Organic Chamomilla, Matricaria), Lavender, Geranium, Aloe Vera, Vitamin E, Vitamin A, in a 4% Matrixyl Peptide Solution","['japanese', 'geranium', 'peptide', 'solution', 'vitamin', 'matricaria', 'aloe', 'almond', 'butter', 'green', 'hemp', 'tea', 'shea', '4', 'matrixyl', 'e', 'chamomilla', 'sweet', 'chamomile', 'vera', 'sunflower', 'lavender', 'coconut', 'grape', 'safflower']"
12,B00U6QFEJU,"Sodium Cocoyl Isethionate, Stearic Acid, Water, Sodium Isethionate, Cocamidopropyl Hydroxysultaine, Ethylene Brassylate, Titanium Dioxide, Sodium Chloride, Glycerin, Ceteareth-20, Cetearyl Alcohol, Caprylic/Capric Triglyceride, Behentrimonium Methosulfate, Ceramide 3, Ceramide 6-II, Ceramide 1, Hyaluronic Acid, Cholesterol, Petrolatum, Dimethicone, Potassium Phosphate, Dipotassium Phosphate, Sodium Lauroyl Lactylate, Disodium EDTA, Phenoxyethanol, Methylparaben, Propylparaben, Phytosphingosine, Carbomer, Xanthan Gum","['phytosphingosine', 'cholesterol', 'cetearyl', 'dioxide', 'lauroyl', 'propylparaben', 'caprylic', '1', 'stearic', 'phosphate', 'dimethicone', 'behentrimonium', 'petrolatum', 'carbomer', 'chloride', 'dipotassium', 'sodium', 'brassylate', 'cocamidopropyl', 'titanium', 'triglyceride', 'cocoyl', 'lactylate', 'hyaluronic', 'edta', 'ceramide', '6-ii', 'potassium', 'alcohol', 'disodium', 'glycer', 'hydroxysultaine', 'ethylene', 'phenoxyethanol', 'xanthan', '3', 'capric', 'gum', 'ceteareth-20', 'methosulfate', 'methylparaben', 'isethionate']"
13,B06XCXCDK5,"Aloe Barbadenisis Leaf Juice*, Glycerin*, Alcohol*(Organic Sugar Cane Derived), Glycerin, Jojoba Seed Oil*, Hydrolyzed Sodium Hyaluronate, Edelweiss Flower Stem Cells, Mallow Flower Extract, Thyme Flower Extract, Olive Fruit Oil*, Buddleja Davidii Leaf Extract, Davana Flower Oil, Ylang-Ylang Flower Oil, Citric Acid, Galbanum Resin Oil, Geranium Oil, Sodium Benzoate, Marigold Flower Oil,Potassium Sorbate, Carrageenan, Tocopherol, Xanthan Gum.","['geranium', 'tocopherol', 'sugar', 'citric', 'aloe', 'galbanum', 'carrageenan', 'alcoholorganic', 'davana', 'stem', 'sodium', 'fruit', 'davidii', 'ylang-ylang', 'juice', 'olive', 'marigold', 'thyme', 'cells', 'glycer', 'extract', 'cane', 'xanthan', 'buddleja', 'gum', 'flower', 'sorbate', 'edelweiss', 'mallow', 'oilpotassium', 'hydrolyzed', 'hyaluronate', 'barbadenisis', 'leaf', 'resin', 'benzoate']"
