,scent,dry,oily,combination,anti-aging,psoriasis,lightening,sensitive,large-pores,circles-under-eyes,uneven-skintone,night_cream,sun_screen
B00CWY8OC8,0.13353150732533386,0.2911694870759042,0.23822721455431006,0.07983260137425699,0.10156482910400302,0.01671682072323744,0.2268821280638178,0.23487719796866188,0.0,0.05710476547507441,0.0,0.11880602173232663,0.0
B06XFJB1K1,0.0576019691681861,0.10993436508727417,0.03665822269145734,0.0945797746430089,0.3953442574209792,0.0605840854933663,0.4904278706350794,0.108303751977819,0.0,0.07350868606343236,0.048476453604735445,0.044755701600164205,0.0
B002KANWU8,0.14188152946110147,0.2627128365695069,0.15274745552837976,0.10250402324439781,0.2202230499741692,0.05125226367687983,0.1701862340058452,0.27825789246390537,0.0,0.08074523162058361,0.01547616028270254,0.20787505028851047,0.023220073402579186
B00LV5NY3I,0.11678670072430841,0.2014995848918747,0.2500383928061303,0.10165249066082081,0.269287111266418,0.0277657214340174,0.2443219381248115,0.2568299293364966,0.0,0.10939827822617021,0.0323322693433875,0.17474450769136618,0.04167848504589812
B0774XYQ21,0.022763925363012458,0.12755265525536943,0.05256966270108031,0.010950227499220373,0.36528271085430064,0.005409325311231979,0.26988810132334495,0.13394432818968716,0.0,0.12519354550892706,0.0,0.19391255223347797,0.030456720736414717
B06WWKDQD4,0.04060800226570875,0.12789106658624233,0.34006405344912227,0.011237720557159036,0.14279702920695253,0.0,0.046410425179934406,0.2717123966979767,0.0,0.0803473600148945,0.0019554801790072802,0.03680164680272544,0.0
B00LZWV0WY,0.08224486899640374,0.1694302336778778,0.20703504759191027,0.0478074848440893,0.3054802117989228,0.009646773227827327,0.33056001507922267,0.4254573561546204,0.0,0.06938546699870994,0.004910885579176806,0.35787402135896795,0.04843051195737233
B00O92QE8M,0.12572819699461155,0.1625352028173362,0.24521770581773839,0.08305455502735662,0.10321513185650744,0.07589889335934061,0.20353615177413714,0.3345414797418864,0.0,0.06192048799888001,0.005722388092399424,0.1903530632357389,0.010874991775633685
B003YCH216,0.16014746940824212,0.1896228368271834,0.19723933265893423,0.10534354247731441,0.11873982962329849,0.0,0.1696101434238721,0.22876525911449505,0.0,0.06167856055880052,0.027353880079746262,0.1884938949614721,0.0
B001V9SXXU,0.05751040701661977,0.2558216105705796,0.11399155199678067,0.021909364455228435,0.4055030230457316,0.04181656492520315,0.10762530580683964,0.09682013305035536,0.0,0.18763356694919273,0.004072739356034875,0.2628719386013666,0.0
B00G0EJYFW,0.1141018874008532,0.09725300803855022,0.13687529721575675,0.07127506276933292,0.1458939062678942,0.0,0.22891628926452862,0.22346929090875559,0.0,0.04920845256456272,0.008750493061460649,0.14821169169137172,0.0727322119381467
B005TI7L6O,0.1831244046058111,0.07863715061073022,0.10212452508993924,0.02891591597840933,0.051479452774572415,0.0,0.3608617302761753,0.1282562227331616,0.0,0.3451856828232871,0.004510629925445612,0.11003072042808101,0.0
B000UVZU1S,0.13775393636170447,0.2679563854203085,0.21586848225070526,0.0744170550639507,0.1610267804417162,0.022501688512878384,0.06143364632257919,0.2539330655354164,0.0,0.09375607838379017,0.0,0.23574748347502955,0.0
B00NR1YQHM,0.16499520043505894,0.1641150752165506,0.2972329168540961,0.10326606587581774,0.11247701225056461,0.058846395945703116,0.1432098391371673,0.2310459343439889,0.0,0.11871778901816489,0.035578172372002614,0.17694058540825952,0.0
B0747Y61RC,0.05276692032390229,0.05893162134873042,0.32207955551523654,0.038225480688367536,0.10692580548838995,0.0,0.3212133609957005,0.5354697739914134,0.0,0.0010338859681265256,0.021840512837590986,0.3655291505040567,0.0476254690558508
B00NR1YQK4,0.1493489867119458,0.2214219025588268,0.25136688007283603,0.08490803837166444,0.11382085875250539,0.09921822164410304,0.1069192395595911,0.14861254875204688,0.0,0.08376836785074006,0.02144189241854456,0.1421220236998167,0.0
B075B2J6M7,0.26479244454774475,0.3520269565718557,0.07679058597963181,0.01668178982083386,0.04525877530216453,0.38684620351376636,0.04550119831319688,0.08178947183360492,0.0,0.027409643952795625,0.0035693648639001287,0.02105952480551032,0.04387180734275548
B000052YQU,0.13252899512814564,0.12937876327711595,0.17333370119374192,0.07288128563445329,0.1348106775942827,0.010504139610512688,0.26940719402212393,0.03273418098346981,0.0,0.26817354910667845,0.03401036217222292,0.0627034586151129,0.0
B00QZ3V3WU,0.06242395687816922,0.3410221101650629,0.05220005845902312,0.05361236310039627,0.46493547893920306,0.05152093057756515,0.1566221961281016,0.1733739431874191,0.0,0.18698626947068037,0.013636942817824113,0.23246912390072683,0.036990071592567564
B00DTTYF6E,0.13064188996649742,0.22799149657954032,0.11987126031429032,0.16219709760650158,0.3889415868165047,0.016327785505197534,0.2599177609221124,0.19109913627705977,0.0,0.1627390805914381,0.06712271109203283,0.20412506072969455,0.026414585846529927
B009RNUH7M,0.1903533357001231,0.04134991199007253,0.06812717602435102,0.0686185072024232,0.08983738197173077,0.0,0.40126323872160696,0.019175156019942775,0.0,0.4033846914163901,0.03978596847161519,0.03294623123918481,0.0047245081143153
B00GJ7SUJ6,0.1272389688835723,0.09710866145579775,0.2943461338266022,0.06727074368297951,0.07206248908176893,0.012926948253299868,0.3051294049846788,0.5648208646385156,0.0,0.07253128782728328,0.012227742794133517,0.38203392477178333,0.03190465244078104
B00R3B58VA,0.051127556791628496,0.2806013031272176,0.04659419940798862,0.025296554694796223,0.49997589729747893,0.0,0.1963121054162113,0.1080987000931337,0.0,0.19420146383649958,0.0017534795693018921,0.26620966929938533,0.016217934841377967
B00OR0UE00,0.1801982225952878,0.19372684509661206,0.08121911467321125,0.12126219686691911,0.17364863103275627,0.014447288182957667,0.08133838743199019,0.015477308249465662,0.0,0.049504946947124484,0.11698670316838278,0.029176144478879035,0.0027927865041409727
B016OIV7IU,0.091341082111964,0.11732017554998309,0.27270585363896616,0.06427651934844075,0.04206198577245891,0.01524091760861713,0.2528061302672656,0.1815646633349201,0.0,0.018155116868941574,0.0,0.10712753224740125,0.004835938095329076
B00SKR6KFY,0.11264921916187116,0.16859348031660826,0.17218543445457898,0.05260272739179635,0.13941966530476968,0.14036295540384255,0.1981770141208235,0.0931850581204117,0.0,0.11511591604615694,0.021125555263086668,0.049889885768990276,0.0
