,scent,dry,oily,combination,anti-aging,psoriasis,lightening,sensitive,large-pores,circles-under-eyes,uneven-skintone,night_cream,sun_screen
B0772L5QC2,0.0,0.0,0.0,0.3528140698198704,0.45361808976840484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B00POYBXVM,0.2153215424674765,0.2731986114712137,0.23774728776396586,0.3412334101548715,0.32215664940585564,0.00010028002127334434,0.19884958118389348,0.20574688245682904,0.1215861449383732,0.12267243046040069,0.00310191744002758,0.02838712904398786,0.0
B076B3ZSDN,0.21587708776425496,0.2941503347930934,0.3775345113771074,0.14350269120129872,0.40972428258264326,0.0,0.13135951051641429,0.21764558373994553,0.0825340404736855,0.22620239193455255,0.0,0.013550475455488075,0.0
B014P8GADI,0.10044192495351517,0.3280276595147889,0.33078782917674493,0.13589842055226575,0.28426520105756986,0.0045281109014793765,0.20148859792625887,0.06560970131423105,0.04567169722574388,0.1171127022750321,0.05718319836659683,0.1110366125971517,0.0
B00NC7NFFA,0.050869312211475295,0.25493328384404534,0.11344362464956297,0.16825243143499863,0.28085144620641905,0.0,0.05015867251093496,0.06485083891669076,0.0230548659414124,0.059785570698938195,0.0,0.12489296806808514,0.0
B00K32VXTW,0.29220683622180654,0.33846370670430803,0.5745497274561908,0.2863567336739625,0.17490884474419846,0.002994040093775205,0.1492021168841014,0.06826083092299184,0.35521983320102307,0.2662077638534336,0.03471660278337685,0.014522879780893484,0.0
B01M4MCUAF,0.23932121839194542,0.24212536895078085,0.5655316055464017,0.21283039833921227,0.16933323044874368,0.015126881456460467,0.28915386337764765,0.04879567318428741,0.35043916366174055,0.24368699699478796,0.09584949128283415,0.04336667772881433,0.0
B01M1HIIUT,0.11118018321738293,0.2411723690363903,0.4037054656843698,0.06850471881287752,0.31690289856914955,0.009027109097694597,0.33254069997241464,0.11839385544103584,0.12418057243647682,0.19577242556058044,0.12839276123798282,0.05547790402674784,0.0
B003MJ7Z0O,0.14975715093642858,0.4113470169865065,0.33653502485358633,0.34457979738648653,0.28945921943096103,0.008540355201231644,0.1826070826917557,0.1086383233932741,0.14464587728008405,0.06106104405419857,0.015602060874380206,0.06486791656186677,0.0
B072KHZV9J,0.24552267699480249,0.30402066843016096,0.12439218219668567,0.10853117593655863,0.16088974115744364,0.016477860983490893,0.19159178686384518,0.22581528268456974,0.0853573216790099,0.0895608865126776,0.013788102322887514,0.11584324811128223,0.0
