title,scent,dry,Acne,oily,combination,antiaging,psoriasis,lightening,sensitive,pores,eyes,skintone,night,sunscreen,Rosacea,Neck,asin,producttype,price,numberreviews,imageurl,ingredients,
"Eminence Rosehip Whip Moisturizer, 2 Ounce",0.164067389,0.274713323,,0.142601053,0.139481079,0.216317597,0.087826978,0.076535593,0.21264562,0,0.005299192,0.034780612,0.186422758,0.109887984,,,B001CL88MS,moisturizer,39.99,3,,ingredients,"Eminence Rosehip Whip Moisturizer, 2 Ounce"
Eminence Organic Skincare. Eight Greens Whip Moisturizer,0.183658076,0.266181923,,0.1637304,0.180526566,0.231097022,0.027423378,0.056928527,0.197441256,0,0.025990285,0.045325681,0.1794255,0.065284287,,,B000LEHMUQ,moisturizer,41,3,,Yucca Extract - antioxidant Stone Crop - hydrates and nourishes the skin for a toned complexion Flaxseed/Linseed - antioxidants and Omega 3s Thermal Water - minerals Hop Extract - antioxidant Paprika - rejuvenates the appearance of the skin Red Clover - antioxidants Chlorophyll - rejuvenates the skin BiocomplexTM - patented antioxidant booster,Eminence Organic Skincare. Eight Greens Whip Moisturizer
Eminence Firm Skin Starter Set,0.204701933,0.216817725,,0.146926881,0.088184107,0.2285037,0.011066876,0.036765304,0.171971159,0,0.001888785,0.108254803,0.105673331,0.153827653,,,B00E8JQMSS,moisturizer,39.75,4,,Please refer to individual products,Eminence Firm Skin Starter Set
"Eminence Firm Skin Acai Moisturizer, 2 Ounce",0.2007197,0.428062876,,0.189305231,0.229338089,0.280708836,0.002107387,0.145516113,0.198710975,0.081948987,0.014167283,0,0.218668252,0,,,B005LZT9HO,serum,44.45,78,,"{""Water, Dimethicone, Glycerin, Niacinamide, Dimethicone Crosspolymer, Polymethylsilsesquioxane, Polyethylene, Panthenol, Tocopheryl Acetate, Palmitoyl Pentapeptide-4, Sodium Peg-7 Olive Oil Carboxylate, Allantoin, Camellia Sinensis Leaf Extract, Ceratonia Siliqua (Carob) Fruit Extract, C13-14 Isoparaffin, Polyacrylamide, Dmdm Hydantoin, Dimethiconol, Laureth-4, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Aminomethyl Propanol, Laureth-7, Disodium Edta, Iodopropynyl Butylcarbamate.""}","Eminence Firm Skin Acai Moisturizer, 2 Ounce"
"Eminence Organic Skin Care Rosehip Triple C+e Firming Oil, 1 Ounce",0.242714996,0.41064824,,0.06620771,0.06501707,0.110023639,0,0.08903777,0.146024192,0.006342125,0.00376115,0.003043516,0.216619067,0,,,B01GPLAJUI,serum,72.25,7,,"{""IngredientsStabilized Vitamin C (L-Ascorbic Acid), Sodium Ascorbyl Phosphate, Vitamin E, Botanical Ferulic Acid, Leafy Greens (Kale, Spinach & Broccoli Sprouts), Citrus Fruit Oils (Lemon & Grapefruit), Avocado, Hydrolyzed Botanical Hyaluronic Acid (from grass extract)""}","Eminence Organic Skin Care Rosehip Triple C+e Firming Oil, 1 Ounce"
Eminence Monoi Age Corrective Exfoliating Cleanser,0.193303098,0.060704633,,0.043026454,0.020781431,0.019127773,0.00211341,0.586188659,0.568645769,0.089386024,0.002552158,0.076442245,0.012035456,0.014570528,,,B00W22NXSA,cleanser,28.4,31,,"{""Natural Retinol Alternative Phytocelltec Swiss Green Apple Stem Cells Monoi Finely Ground Olive Seed AHA Cocktail (Lemon, Passion Fruit, Grape, Pineapple Extracts) Botanical Enzyme Blend Biocomplex (Vitamin A, Vitamin C Ester, Vitamin E, Coenzyme Q10, Alpha Lipoic Acid)""}",Eminence Monoi Age Corrective Exfoliating Cleanser
"Eminence Calm Skin Chamomile Cleanser, 8.4 Ounce",0.12204608,0.010348865,,0.023577508,0,0.010348865,0.105433038,0.587328953,0.581993269,0.001606833,0.005218981,0.003168812,0.014367904,0,,,B005LZT9CO,cleanser,26.75,20,,"{""Chamomile Tea - calms and balances skin, cleanses, revitalizing Calendula Oil - antioxidant, essential oil Sunflower Oil - Vitamins A, D, and E, protective antioxidants Arnica Extract - cleanser Grape Leaf Extract - antioxidant Rosemary - antioxidant, soothes, revives tired skin Biocomplex - antioxidant booster""}","Eminence Calm Skin Chamomile Cleanser, 8.4 Ounce"
"Eminence Clear Skin Probiotic Cleanser, 8.4 Ounce",0.159932879,0.027876371,,0.301095323,0.004490757,0,0.002497866,0.489841343,0.528520024,0,0,0.013280191,0,0,,,B005LZT9EM,cleanser,30.58,69,," exfoliating - moisturizes and nourishes skin, contains lactic acid Sweet Almond Milk - softens skin, lightly aromatic Tea Tree Oil - essential oil Willow Bark Extract - astringent Biocomplex - antioxidant, anti-aging booster that balances and protects the skin","Eminence Clear Skin Probiotic Cleanser, 8.4 Ounce"
"Eminence Coconut Milk Cleanser, 8.4 Ounce",0.252906613,0.108736189,,0.033303522,0.053340357,0.015767,0.025190524,0.540713616,0.606629652,0.007285211,0.012008489,0.009106514,0.002513133,0.045018334,,,B001DIOPIQ,cleanser,28.25,55,, a booster of antioxidants,"Eminence Coconut Milk Cleanser, 8.4 Ounce"
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,,0.9,0,0,0.5,1,0,0,0.4,0,0,0,0.5,0,0,0,1,,,,,,
2,,1,0,1,1,1,0,0,0,0,0,1,0,0,0.2,1,2,,,,,,
3,,1,0,0.1,0.4,0.5,0,0.8,0,0,0,0.3,0,0,0,0,3,,,,,,
4,,0,0,1,0.5,0.7,0,1,0.1,0,0,1,0,0,0.1,0,4,,,,,,
5,,0,1,1,0.8,0.2,0,0,0,0.8,0,0,0,0,0,0,5,,,,,,
6,,0.8,0,0.5,0.5,0.2,1,0,1,0,0,1,0,0,1,0,6,,,,,,
7,,1,0,0.1,0.5,1,0,0,0.3,0,0,0.2,0,0,0,0,7,,,,,,
Bright Skin Cleanser,,0.7,0,0.1,0.3,0.2,0,1,0,0,0,0.4,0,0,0.4,0,8,cleanser,26.64,77,https://dxs1x0sxlq03u.cloudfront.net/sites/default/files/styles/product_medium/public/product-image/bright_skin_cleanser400pix.jpg?itok=dm-cC4cm,,
Calm Skin Chamomile Cleanser,,0.8,0,0.3,0.6,0.1,0.8,0,1,0,0,0.4,0,0,1,0,9,cleanser,32.64,130,https://dxs1x0sxlq03u.cloudfront.net/sites/default/files/styles/product_medium/public/product-image/calm_skin_chamomile_cleanser400pix.jpg?itok=MXWH5YCI,,
Clear Skin Probiotic Cleanser,,0,1,1,0.4,0.1,0,0,0,0.8,0,0.9,0,0,0,0,10,cleanser,36.62,85,https://dxs1x0sxlq03u.cloudfront.net/sites/default/files/styles/product_medium/public/product-image/clear_skin_probiotic_cleanser400pix.jpg?itok=W0TlLA-P,,
Firm Skin Acai Cleanser,,0.7,0,0,0.6,1,0,0,0,0.1,0,0.9,0,0,0,0,11,cleanser,36.84,149,https://dxs1x0sxlq03u.cloudfront.net/sites/default/files/styles/product_medium/public/product-image/firm_skin_acai_cleanser400pix.jpg?itok=oXDsGHSG,,
Monoi Age Corrective Exfoliating Cleanser,,1,0,0.1,1,1,0,0,0,0.2,0,0.3,0,0,0,0,12,cleanser,27.27,145,https://dxs1x0sxlq03u.cloudfront.net/sites/default/files/styles/product_medium/public/product-image/monoi_age_exfoliating_cleanser400pix.jpg?itok=HGRNcVLB,,
Stone Crop Cleansing Oil,,1,1,1,1,0.1,0.7,0,0.3,0,0,0.4,0,0,0.7,0,13,cleanser,41.5,22,https://dxs1x0sxlq03u.cloudfront.net/sites/default/files/styles/product_medium/public/product-image/stonecrop_cleansing_oil400pix.jpg?itok=AvDaThXN,,
Rice Milk 3 in 1 Cleansing Water,,1,1,1,1,0.1,0,0,0.3,0,0,0,0,0,0,0,14,cleanser,31.75,,https://dxs1x0sxlq03u.cloudfront.net/sites/default/files/styles/product_medium/public/product-image/rice_milk_cleansing_water400pix.jpg?itok=XfeRZ6Fl,,
Stone Crop Gel Wash,,1,1,1,1,0.1,0,0.6,0.9,0,0,0,0,0,0,0,15,cleanser,34,276,https://dxs1x0sxlq03u.cloudfront.net/sites/default/files/styles/product_medium/public/product-image/stone_crop_gel_wash400pix.jpg?itok=PzGqSHI-,,
Neroli Age Corrective Hydrating Mist,,1,1,1,1,1,0,0,0.2,0.2,0,0.5,0,0,0,0,16,mist,37.99,,https://dxs1x0sxlq03u.cloudfront.net/sites/default/files/styles/product_medium/public/product-image/neroli_age_hydrating_mis400pixt.jpg?itok=oO7wu7td,,
Stone Crop Hydrating Mist,,1,1,1,1,1,0.4,1,0.9,0,0,0.7,0,0,0,0,17,mist,35.17,21,https://dxs1x0sxlq03u.cloudfront.net/sites/default/files/styles/product_medium/public/product-image/stone_crop_hydrating_mist400pix.jpg?itok=cTH8L6eN,,
Wild Plum Tonique,,1,0,0,0.7,0.5,0,0,0,0.4,0,0,0,0,0,0,18,serum,29.32,32,https://dxs1x0sxlq03u.cloudfront.net/sites/default/files/styles/product_medium/public/product-image/wild_plum_tonique400pix.jpg?itok=v_6JUawm,,
Bright Skin Licorice Root Exfoliating Peel,,1,1,1,1,1,0,1,0.9,0.4,0,0.5,0,0,0,0,19,serum,38,78,https://dxs1x0sxlq03u.cloudfront.net/sites/default/files/styles/product_medium/public/product-image/vs_xpeel_duo_bright_skin.jpg?itok=VO_Q91p9,,
Clear Skin Willow Bark Exfoliating Peel,,0.9,1,1,0.9,0.9,0,0,0.4,0.4,0,0.4,0,0,0,0,20,peel,58.74,,https://dxs1x0sxlq03u.cloudfront.net/sites/default/files/styles/product_medium/public/product-image/vs_xpeel_duo_clear_skin.jpg?itok=WGqXWO8k,,
Firm Skin Exfoliating Peel,,1,0.9,0.9,1,1,0,0,0.3,0.6,0,0.4,0,0,0,0,21,peel,60,,https://dxs1x0sxlq03u.cloudfront.net/sites/default/files/styles/product_medium/public/product-image/firm2.jpg?itok=d7RqgEqi,,
Strawberry Rhubarb Dermafoliant,,1,1,1,1,1,0,0,1,0.4,0,0.6,0,0,0,0,22,exfoliant,35,,https://dxs1x0sxlq03u.cloudfront.net/sites/default/files/styles/product_medium/public/product-image/strawberry_rhubarb_dermafoliant.jpg?itok=42ynBX8o,,
Stone Crop Oxygenating Fizzofoliant,,0.9,1,1,0.9,0.9,0,0,0.9,0.4,0,0.6,0,0,0,0,23,exfoliant,41.25,18,https://dxs1x0sxlq03u.cloudfront.net/sites/default/files/styles/product_medium/public/product-image/stone_crop_oxygenating_fizzofoliant400pix.jpg?itok=DyymqBKM,,
Bamboo Age Corrective Masque,,1,0,0.2,1,1,0.2,0,0.2,0.5,0,1,0,0,0,0,24,mask,50,,https://dxs1x0sxlq03u.cloudfront.net/sites/default/files/styles/product_medium/public/product-image/bamboo-age-corrective-masque_0.png?itok=I111yMuL,,
Bright Skin Masque,,1,0,0.2,1,0,0,1,0.2,0,0,0.4,0,0,0.3,0,25,mask,40,,https://dxs1x0sxlq03u.cloudfront.net/sites/default/files/styles/product_medium/public/product-image/brightskinmasque_keyimage.jpg?itok=hFKLJBgK,,
Calm Skin Masque,,1,1,1,1,,0.9,0,1,0,0,0.7,0,0,1,0,26,mask,,,https://dxs1x0sxlq03u.cloudfront.net/sites/default/files/styles/product_medium/public/product-image/calm_skin_arnica_masque.jpg?itok=wnNkrXx0,,
Clear Skin Probiotic Masque,,0,1,1,0.6,0,0,0,0,1,0,0.8,0,0,0,0,27,mask,,,https://dxs1x0sxlq03u.cloudfront.net/sites/default/files/styles/product_medium/public/product-image/clear_skin_probiotic_masque.jpg?itok=ZkOtS_eB,,
