,scent,dry,oily,combination,anti-aging,psoriasis,lightening,sensitive,large-pores,circles-under-eyes,uneven-skintone,night_cream,sun_screen
B00CWY8OC8,0.10518911270468939,0.25781366238770675,0.11969464957568937,0.040085565286685526,0.0587271644757835,0.07542549625460707,0.1930735518345188,0.12096185616847753,0.0,0.031852749896719844,0.0,0.02889709913023304,0.24135975478310423
B06XFJB1K1,0.28023164389948435,0.3518595000099225,0.06998107311484136,0.022578760963852425,0.05017362845220692,0.0090000034286802,0.05989656134029612,0.05886964044252388,0.0,0.4038748571507622,0.013860077556577609,0.03355830984836782,0.001337178927637218
B002KANWU8,0.1741892719694442,0.4073788320824727,0.11976016992529465,0.0844400040082888,0.13200619489550725,0.0,0.08558812421847568,0.2498327009569748,0.0,0.1264374757547863,0.0060233268898215895,0.07311489114661276,0.08019480827750364
B00LV5NY3I,0.2588465509301109,0.3784824200720128,0.14933339517226907,0.08833020733077337,0.16935453382321444,0.04181641282666488,0.1458208380485389,0.20613207066039177,0.0,0.2818255464939324,0.01679307770298276,0.11028799320336778,0.01385436908360929
B0774XYQ21,0.07124870085418086,0.2479647906648006,0.10496781327640242,0.01787386361212427,0.0031006438527188844,0.5094415712781878,0.028126652200657826,0.4056344835940792,0.0,0.0743159471317728,0.0,0.028870689957875367,0.0
B06WWKDQD4,0.11141253648914748,0.18721715354932886,0.04145599890515108,0.029977326769200972,0.35080455764304364,0.061924478505311055,0.4112322180439716,0.09493729185041905,0.0,0.09592740214692509,0.0,0.04984823809257978,0.0
B00LZWV0WY,0.15892612597055622,0.3548593713376135,0.2697705123574039,0.0537368734742778,0.05001365199596116,0.30791279116202824,0.048470133697201136,0.35538331335806855,0.0,0.09621229442287951,0.007359539186820818,0.049198288875191995,0.011758804384296148
B00O92QE8M,0.23364031156901213,0.48768080071528075,0.13688530815941022,0.06729795548903533,0.07207772318036074,0.12291140115208675,0.02005515885426335,0.20891038358302239,0.0,0.09466269044363418,0.0052160286425806494,0.037691860129946075,0.024785770829069055
B003YCH216,0.1604485397632856,0.32583294305340815,0.1234705949014324,0.09604092688701585,0.028247660500806966,0.0003613924979132609,0.07181049599786951,0.23856436168313946,0.0,0.050801213821106694,0.022779061979349962,0.043836011986825754,0.11851731878572641
B001V9SXXU,0.2855623269685111,0.43243946711365794,0.05708358911965934,0.008274701421538704,0.041518274982243725,0.5333020452291021,0.010799297687339698,0.10761436002387743,0.0,0.00499698297491569,0.0,0.006184442500164632,0.043197190749358794
B00G0EJYFW,0.19984440608155266,0.38002043951416464,0.12217377726672791,0.06265595019447931,0.03932970540512023,0.0832774762571846,0.024145297681839796,0.21497519695956432,0.0,0.13893543042106862,0.013012114382969201,0.014758677212225287,0.0
B005TI7L6O,0.07925088406790978,0.1554325674973,0.27651789625870493,0.028421991421777884,0.0034184426069221053,0.058313470250069194,0.02894797607755598,0.3104679608083087,0.0,0.004808415942711207,0.0034184426069221053,0.030550549161652684,0.04389609477740105
B000UVZU1S,0.2166452275188558,0.4779196662891687,0.11730293756079328,0.08980180706237523,0.048868747310524235,0.1397683614788877,0.01607972601826849,0.2782851241316172,0.0,0.020144465960289598,0.0,0.07766233839391656,0.029287577953046887
B00NR1YQHM,0.247193888205001,0.25421711271071556,0.15484679221604725,0.07417283870961922,0.08105113848745166,0.02171009497509924,0.2894664464773207,0.17271545629243437,0.0,0.3134921391876937,0.014647163029207851,0.045668053112855024,0.020146153662421853
B0747Y61RC,0.10934299202885435,0.16424636075282958,0.37738961710110747,0.06611343541322054,0.05607547075231441,0.10448521986807809,0.042260319110128855,0.16158664716904747,0.0,0.048091513204757436,0.03279536959861953,0.03702421718511777,0.0
B00NR1YQK4,0.2214824462687493,0.311858621762082,0.12464497829132164,0.06529395057045308,0.07685533178785178,0.02885806097868615,0.2746506345559121,0.2512130117392292,0.0,0.2722334824287904,0.0019164044955711358,0.09833337614534995,0.031863281361301295
B075B2J6M7,0.08571900768001778,0.24973205852949287,0.042263070680465954,0.23675666512844717,0.44759511278863195,0.007957026770568858,0.18532215079706627,0.07174351878141962,0.0,0.23170536454437987,0.11583466916428732,0.036048698628302296,0.0
B000052YQU,0.1862436891434409,0.18847997764481658,0.11097145168067654,0.028646671121079565,0.015729882945450364,0.11978695728719643,0.1997502518028833,0.18109243303624142,0.0,0.20554801996939157,0.004439730467011419,0.04583596819236241,0.08731375867794193
B00QZ3V3WU,0.11489939670165589,0.4120294529415411,0.11525941954168832,0.02818960291500338,0.07338098633614723,0.6046102614152926,0.10607369472773122,0.4545493988422395,0.0,0.07731350101966475,0.01000102277060096,0.0674209421503492,0.0034253652985782057
B00DTTYF6E,0.25702744259482635,0.40042038358094434,0.12656141604214435,0.08149965081719367,0.10790105139616618,0.07828816698901823,0.10852818413439914,0.2674622576150461,0.0,0.3106266103280074,0.01650776339946721,0.10182024023683481,0.0
B009RNUH7M,0.09498908424493016,0.019379612502898977,0.23604797192309912,0.022235130800520565,0.012570851284328872,0.0,0.17691243926607764,0.2686219268167534,0.0,0.15246523408099527,0.012570851284328872,0.044194828591441804,0.07648901871366326
B00GJ7SUJ6,0.12398112293789121,0.25466337953835944,0.389632535766737,0.05567668920157656,0.05017508566280994,0.059321348639394506,0.05634012318919063,0.2048222287684026,0.0,0.03764150219677022,0.014849045905400812,0.026759578711534414,0.019398702673638066
B00R3B58VA,0.1453633571526991,0.38911866000460793,0.11693939941002104,0.032666237422824165,0.00641614776961935,0.6004611409337176,0.05529677481443826,0.5277175067497994,0.0,0.06741543055029818,0.0,0.0926609307197527,0.00866885238843859
B00OR0UE00,0.1800612401726987,0.18916190678500505,0.08402222435517119,0.12282588191393666,0.14790512801142994,0.04552668390751255,0.09055886855822974,0.018116403515015846,0.0,0.020883045595597973,0.12014420432733898,0.009916826643624501,0.006492535948005255
B016OIV7IU,0.10592672282067091,0.2721302211033436,0.06330423456879337,0.043976544812763294,0.04710759220825537,0.05448496621737584,0.09050511607057773,0.17317525817979765,0.0,0.013254764812890875,0.0011244765829473,0.04485651027527463,0.27928893779977254
B00SKR6KFY,0.19373675779688324,0.2456341621404213,0.06320495204846463,0.08204081967438981,0.14921411947847052,0.0024527970035498714,0.18012894940768226,0.13255666093647248,0.0,0.27131574483064086,0.02548770177974719,0.08146563041773483,0.034534405003329945
B001IJ4KWQ,0.07347009154049305,0.17930388451980167,0.24739426395071162,0.040211034630324646,0.0068631776273515585,0.0,0.2625926588417954,0.15126794579720917,0.0,0.036170936392312496,0.003545776998783447,0.027259837972714092,0.2542694608779159
B01CNE99FW,0.17114946487002894,0.4515348123869654,0.06655223056581823,0.06385273420901934,0.39174037105240356,0.10651822315349696,0.19415254087392117,0.1842211592715282,0.0,0.06580026190430727,0.009908990248269899,0.12581344766708513,0.0
B01BDIX3JM,0.09452923314067299,0.44603571683983284,0.07188136621940566,0.01789627570695448,0.5345372340044517,0.0,0.13988703233644484,0.08716734844194057,0.0,0.05723014944377511,0.0,0.21211424615190733,0.0
B06XZVZXWC,0.050466976803296565,0.04576563209599922,0.48862430252363487,0.03767035194617572,0.022486523484631333,0.0,0.029083465510787884,0.10173249098471446,0.0,0.001251473877863704,0.02100253277778895,0.028567066828733594,0.0
B072MYZV4R,0.19327576501766103,0.277915573236304,0.10482135112276322,0.11455013738937811,0.19990580564135618,0.01568634949946517,0.06021109543186031,0.3296797265936967,0.0,0.10168846730864445,0.001988418781107442,0.26144563237037916,0.0
B015ORL3B8,0.11451368061634051,0.3553810787769046,0.14693556057858573,0.07901509924734477,0.40551678993429296,0.009696421508353136,0.22322721911022544,0.16653677699978986,0.0,0.21798944137580117,0.017779017189423492,0.141182896216406,0.04288670908692344
B00387F426,0.07268771918158844,0.3354251615629279,0.0626380354601391,0.0521016660273778,0.29008056385841596,0.0,0.07164804340943666,0.10478753944760938,0.0,0.16991091241141998,0.00798248786261037,0.08407971213491833,0.17994788858167046
B00O25NI7Q,0.1334254841561101,0.43263847816174045,0.06355851931269665,0.04513582249593229,0.42953347475430154,0.0,0.021802293736535153,0.09129776344819139,0.0,0.2241767994463929,0.008436487948701549,0.23260828706001066,0.0
B01M4R7D9A,0.1512152896259259,0.22298249560790145,0.10348924872007723,0.10646585942776518,0.10333644876617096,0.0,0.018180285968905315,0.2613271309229081,0.0,0.07318388022991865,0.008468185331674665,0.16332945682681754,0.016165344490856503
B072TRNFHS,0.13964305972441332,0.31053063736872444,0.060428044396205714,0.050722247528039145,0.13814900326081045,0.0,0.0106954158349413,0.14369073341384853,0.0,0.17312353695341207,0.0,0.04238004585134453,0.0
B00IFTTZVS,0.05066718776465232,0.37377367757393354,0.12495859988294007,0.055140408113804454,0.4770836888931374,0.0,0.1312166420560199,0.11060378471032763,0.0,0.1951256441403456,0.014071745652808117,0.19262607325918224,0.037455141040021026
B01MSBL7L1,0.01821635938613895,0.05752405887345223,0.335650497487285,0.004725295633214238,0.011186733057142115,0.0,0.3343230290988267,0.7460157389034668,0.0,0.022285990433047447,0.0,0.49348660119778714,0.0
B01C8COKI0,0.18524851400120662,0.4443370504237073,0.1542510528675855,0.0998386475900476,0.1668404637819002,0.03649677804863845,0.11798423874001747,0.2692723331514836,0.0,0.08707439496013215,0.030265228520674134,0.06527896923108284,0.045603677280472564
B017KUHD7K,0.13199905905032847,0.31679284057404083,0.028139498017287864,0.042202609405909745,0.22558207845439415,0.08200735126567268,0.017604747166654118,0.0825868159386576,0.0,0.15327064573892346,0.005616276714456574,0.090882814371311,0.0
B001UOHR1A,0.19521565310344774,0.2656634069638575,0.12017689312210258,0.22187159858087344,0.3675542473459151,0.034680833231147914,0.23387800193082167,0.036965977772055875,0.0,0.20386344030560477,0.14854222096738784,0.07321606025595782,0.012571232876389319
B07453LN3K,0.2275150996855601,0.3696116883881101,0.061958609117522614,0.06367688182412759,0.23559210899092728,0.12339514218273126,0.05729513319654668,0.2148309066380643,0.0,0.18828238224724592,0.013743245344581368,0.21022931485271884,0.0
B002ML8O8K,0.0194128667333226,0.0,0.34015579120873446,0.0582386001999678,0.0485321668333065,0.0,0.3692750913087184,0.7653505302196525,0.0,0.0582386001999678,0.0291193000999839,0.5102336868131017,0.0
B00V5LHWVS,0.25699232184068316,0.1722710977137762,0.018017799582056456,0.018805431556494015,0.002505244616677762,0.1039375259546876,0.32217096200126794,0.05562866269504449,0.0,0.3758661223348126,0.0,0.003938159872187801,0.0
B004D268F2,0.20646854477375334,0.3396040319718968,0.09535183314386231,0.017646223695733047,0.09802927467873569,0.29179155041909627,0.1147449776217586,0.041267190809540846,0.0,0.030105513716212312,0.006523978975534601,0.03333351030120729,0.22109054281539398
B004D2C57M,0.051258680934928816,0.3444314187346812,0.06907362137850435,0.026217159001208554,0.34700118955446235,0.022357520575405535,0.08748844996461982,0.10801476549570983,0.0,0.19367460982838142,0.002102769255772878,0.10978367826329563,0.1923862106646136
B00K58NEIM,0.13289100093129363,0.31936490335692,0.02896785190738644,0.235472916811818,0.545876445878239,0.061746001564883794,0.1302700024102999,0.04003135638137079,0.0,0.2749824035566327,0.11706236248538145,0.18336350877791605,0.00811781690205899
B076B3ZSDN,0.09717624893379918,0.38810871556299914,0.07783020333538693,0.04563026230139326,0.33168221139536697,0.0,0.06069351770277351,0.16934561657266348,0.0,0.21746122982571264,0.0,0.17722415442741163,0.025409134778923523
B017J19GGQ,0.055940763764202844,0.4598495789230493,0.06215996427379031,0.09481947275012628,0.5521918180701043,0.0,0.13844074757040223,0.07549965606311576,0.0,0.12954200145057587,0.0456620961423528,0.06748084304718074,0.001548697415977464
B074SZ5CSR,0.18042517640671457,0.3819181578734224,0.1064607619011469,0.09864469720433174,0.19526370347614472,0.0248601697416102,0.06769860244133617,0.23579912186957158,0.0,0.18594488406043286,0.021025994443747233,0.060238091311307404,0.01523804434286786
B076CPHFM9,0.28023164389948435,0.3518595000099225,0.06998107311484136,0.022578760963852425,0.05017362845220692,0.0090000034286802,0.05989656134029612,0.05886964044252388,0.0,0.4038748571507622,0.013860077556577609,0.03355830984836782,0.001337178927637218
B00R5B3POA,0.21972802758516685,0.5340237894350714,0.07204536821573777,0.07718630989443506,0.33222515258501645,0.06386276342126428,0.11448474086770069,0.15402424270546933,0.0,0.21424359584471392,0.025130861523738272,0.11308541917153839,0.04853037195635851
B01FMQSUWG,0.07430246433261528,0.40199413930364103,0.06284495217782154,0.03440156742906475,0.5469650563687916,0.031037557595521455,0.07046009021826535,0.07861334798093168,0.0,0.24041900494916865,0.013278026071708533,0.23905781962488318,0.011173751417106572
B01FRUBUTW,0.1299556003095998,0.15223102709765363,0.15094081474774393,0.00025515471187960795,0.014305044369754882,0.1702049452549457,0.08576593845713848,0.23345400299635968,0.0,0.1371146860296615,0.00025515471187960795,0.03174490938943069,0.0
B00JZ03MVU,0.06643328322178757,0.03989418169626687,0.055457127777151095,0.0,0.025394155958670037,0.0,0.18581643671123585,0.03857583072561063,0.0,0.13279941193681213,0.0,0.03820626577989519,0.32073651168566886
B073SD374T,0.18085773173902658,0.3580619363732517,0.07018416150334068,0.06361348598761053,0.2247464999696324,0.13977777708666012,0.12295426318513733,0.25595981330496453,0.0,0.19240999810400625,0.001905591432623167,0.1652661978539556,0.0
B00U2QDZYU,0.23613515362917217,0.44407497350995107,0.07032034526979396,0.06622173879583218,0.14871256638529695,0.08665332997761581,0.01387380200864965,0.17489211269966137,0.0,0.13352551538781982,0.006472288543097713,0.08613797851741323,0.0362566213000246
B01ES349CY,0.060426506802593614,0.27618315644625085,0.11075214902896048,0.02206999687333943,0.4272678855416647,0.0,0.09817489585689697,0.06428836489617795,0.0,0.27181094225724106,0.003873498493444276,0.21328099704753428,0.02500196936693059
B00CZQ8SAG,0.23907665628438807,0.4161967703536404,0.04987316211015081,0.02118587375867735,0.022347801990412842,0.46186181380399205,0.007857024358695279,0.16269227375914064,0.0,0.007731887398012804,0.0013769873509364297,0.016839875853488683,0.0
B01J8QLKTQ,0.08436039733587701,0.3696093858169201,0.0,0.05016183157761019,0.3782495870082452,0.10920865883991777,0.025080915788805096,0.0006566666292711061,0.0,0.20520437221977347,0.025080915788805096,0.05251784036751356,0.0
B016V8UEX2,0.16195715633211566,0.26873282033977164,0.055030629126079506,0.17238521413962174,0.34337037370678386,0.0,0.10636307145560911,0.12937061970766092,0.0,0.15805114030201028,0.06846947012250282,0.1575512957141043,0.0
B01MSZB9FH,0.1411442626467732,0.40333413070814833,0.10550008496160014,0.061823702239699165,0.1474965817001903,0.047874226408464615,0.06251635191031739,0.16993200663377145,0.0,0.09145770002115482,0.009468384284892032,0.06828546556851828,0.1643429055446303
B00HB2JQNM,0.08677457725770166,0.2054852201194687,0.09835094702238815,0.057240222997661294,0.15707113517244053,0.0,0.19514253678548465,0.12156106276861808,0.0,0.10870297218516983,0.019011224318956667,0.08126296920596703,0.32813256633153576
